,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
abu jubayhah,11.27,31.77,71.09,17,0,8.77
abu kamal,34.45,40.92,66.41,26,0,15.26
adrar,27.87,-0.29,77.0,28,0,9.89
adre,13.47,22.2,67.4,23,0,7.99
ahipara,-35.17,173.16,69.38,86,48,13.47
ahuimanu,21.44,-157.84,72.52,78,90,9.17
ailigandi,9.23,-78.02,80.36,78,76,8.43
airai,-8.93,125.41,66.95,90,24,1.61
aklavik,68.22,-135.01,6.8,71,90,6.93
albany,42.65,-73.75,31.06,26,20,14.99
albox,37.39,-2.15,57.2,82,40,33.33
alekseyevsk,57.84,108.35,20.51,91,0,4.97
alghero,40.56,8.32,53.6,71,40,11.41
algiers,29.94,-90.04,79.54,78,75,17.22
alikalia,9.15,-11.39,78.29,74,8,4.18
alofi,-19.06,-169.92,77.0,94,76,1.12
amahai,-3.31,129.0,83.06,100,20,7.2
ambon,47.55,-2.56,37.4,64,90,13.87
amderma,73.9,60.7,-18.1,79,48,34.61
ames,42.03,-93.62,51.4,50,1,18.34
ancud,-41.87,-73.83,56.24,94,88,7.2
anito,12.45,125.29,81.35,100,80,8.43
apopka,28.68,-81.51,78.44,42,20,8.05
aquidauana,-20.47,-55.78,86.48,73,48,3.18
aranos,-24.14,19.11,66.05,81,8,3.4
araouane,18.9,-3.53,69.47,19,0,6.42
arlit,18.74,7.39,69.47,23,0,5.3
arrah,25.56,84.66,64.43,53,20,5.97
arraial do cabo,-22.97,-42.02,92.59,55,0,14.99
asayita,12.07,41.96,64.16,76,0,2.62
atambua,-9.11,124.89,75.59,100,68,4.41
atar,20.52,-13.05,84.2,20,0,9.17
attawapiskat,55.62,-78.88,8.36,100,48,18.5
atuona,-9.8,-139.03,81.53,100,64,16.26
auki,12.18,6.51,71.09,37,0,3.96
avarua,-21.21,-159.78,82.4,78,40,4.7
avera,33.19,-82.53,65.12,77,90,4.74
ballina,54.11,-9.15,37.4,51,0,8.05
bambous virieux,-20.34,57.76,78.8,94,75,9.17
bandarbeyla,9.49,50.81,78.11,100,32,13.69
bani,15.89,120.27,70.73,100,0,3.62
barentsburg,74.95,12.07,26.18,100,80,10.56
barra patuca,15.8,-84.28,82.52,84,8,12.35
barrow,-38.31,-60.23,74.69,38,0,7.09
baruun-urt,46.68,113.28,16.37,69,0,5.19
basoko,1.23,23.61,69.74,100,76,5.97
batagay,67.65,134.64,-27.55,42,44,2.95
bathsheba,13.22,-59.52,78.29,100,36,10.33
bay roberts,47.58,-53.28,28.4,74,90,18.34
belmonte,40.36,-7.35,36.35,78,0,9.89
beloha,-25.17,45.06,73.43,89,32,4.85
belushya guba,81.71,49.03,-12.07,100,20,16.26
bengkulu,-9.97,93.48,82.7,100,92,7.65
benguela,-12.58,13.4,77.93,100,80,1.61
bentiu,9.17,30.38,74.06,34,12,4.97
bereda,43.27,-7.54,44.6,75,75,16.11
beringovskiy,63.05,179.32,3.5,100,64,6.53
bethel,60.79,-161.76,23.0,92,20,16.11
biloela,-24.4,150.51,70.1,93,36,8.1
bluff,-23.58,149.07,72.71,91,0,8.43
bogorodskoye,52.37,140.44,1.79,59,0,5.64
boguchany,58.38,97.46,22.67,84,0,5.19
bolungarvik,69.72,-28.69,-8.47,49,0,11.79
brae,60.4,-1.35,39.2,80,0,9.17
brasileia,-10.91,-68.8,87.8,66,40,4.7
bredasdorp,-34.53,20.04,59.0,72,0,1.12
brenham,30.17,-96.4,78.21,33,1,16.11
broken hill,-31.97,141.45,57.68,94,32,12.24
broome,52.47,1.45,35.6,80,75,16.11
bulungu,-4.54,18.6,73.88,84,48,4.41
buraydah,26.33,43.97,82.4,28,20,14.99
burica,4.56,-83.04,81.62,100,20,5.41
bursol,52.76,77.93,12.23,80,8,15.82
busselton,-33.64,115.35,68.3,100,0,21.63
butaritari,3.07,172.79,82.34,100,80,7.31
cabimas,10.39,-71.44,88.46,73,8,3.18
cabo san lucas,22.89,-109.91,77.29,64,5,4.7
cairns,-16.92,145.77,77.0,83,20,9.17
calama,-22.46,-68.93,73.4,27,0,24.16
calvinia,-31.47,19.78,55.16,45,0,3.4
camocim,-2.9,-40.84,81.26,80,92,10.33
cape town,-33.93,18.42,62.6,72,0,11.41
caravelas,-17.73,-39.27,81.53,100,0,15.26
carnarvon,-30.97,22.13,58.4,33,0,10.22
castro,-42.48,-73.76,52.28,89,92,7.99
cayenne,4.94,-52.33,80.6,83,76,6.93
chapais,49.78,-74.86,12.2,56,40,16.11
chemodanovka,54.09,40.18,3.32,73,0,8.55
chernyshevskiy,63.01,112.47,11.78,80,92,2.51
cherskiy,68.75,161.3,-13.87,43,0,6.2
chicama,-7.84,-79.15,69.8,88,75,11.41
chimore,-16.98,-65.13,74.51,96,92,5.41
chokurdakh,70.62,147.9,-26.29,41,24,6.31
chuy,-33.69,-53.46,70.1,74,0,12.01
cidreira,-30.17,-50.22,71.09,71,24,8.99
cividale del friuli,46.09,13.43,36.09,60,75,9.17
clarence town,-32.59,151.78,73.4,83,90,9.17
clyde river,70.47,-68.59,-9.41,63,40,11.41
cockburn town,21.46,-71.14,73.79,100,36,4.63
colimes,-1.55,-80.01,86.0,66,40,6.93
comodoro rivadavia,-45.87,-67.48,39.2,93,90,13.87
copiapo,-27.37,-70.33,68.0,60,20,10.29
coquimbo,-29.95,-71.34,66.2,68,0,12.75
cuamba,-14.8,36.54,75.86,68,80,4.18
dakar,14.69,-17.45,71.6,68,0,9.17
dali,25.6,100.24,38.15,100,0,3.18
damavand,35.72,52.07,59.0,21,0,4.7
darhan,49.49,105.92,22.04,66,0,5.64
deh rawud,33.23,65.19,40.4,98,92,2.62
derzhavinsk,51.1,66.31,-1.72,69,0,3.96
dharchula,29.85,80.53,33.83,68,0,2.39
dikson,73.51,80.55,-2.35,100,68,27.22
dimitrovgrad,54.22,49.6,12.2,66,88,6.71
dingle,11.0,122.67,74.87,98,32,5.41
dinsor,2.75,42.51,84.77,45,0,9.78
dong hoi,17.48,106.6,70.82,100,100,12.8
drayton valley,53.22,-114.98,41.12,86,24,1.95
dunedin,-45.87,170.5,65.69,70,36,8.66
east london,-33.02,27.91,64.4,88,40,5.82
egvekinot,66.32,-179.17,-12.43,56,36,3.06
esperance,10.24,-61.45,86.0,45,40,14.99
faanui,-16.48,-151.75,82.16,100,64,21.41
fairbanks,64.84,-147.72,30.83,86,90,14.99
faya,18.39,42.45,63.52,45,0,2.73
ferry pass,30.51,-87.21,73.98,88,90,13.87
fevralsk,54.53,130.43,-9.37,65,8,2.39
figeac,44.61,2.03,35.71,100,90,10.29
filadelfia,-22.35,-60.04,75.95,86,20,14.58
flin flon,54.77,-101.88,17.6,37,90,8.05
fortuna,38.18,-1.13,59.29,81,90,24.16
fujin,47.24,132.03,4.58,62,0,8.99
galle,29.74,-97.91,81.19,12,1,13.87
gamba,28.28,88.52,-1.99,78,20,1.16
gambo,11.96,9.63,75.05,22,0,7.76
gazanjyk,39.24,55.52,45.89,94,44,3.74
general roca,-39.03,-67.58,78.8,26,0,4.7
georgetown,6.8,-58.16,87.8,55,75,9.17
georgiyevka,52.25,40.45,-2.62,60,12,2.73
geraldton,49.72,-86.95,17.6,26,5,8.05
gizo,31.8,34.94,69.8,60,0,11.41
goya,-29.14,-59.27,77.57,46,8,8.43
grand forks,47.91,-97.06,33.35,86,90,10.29
grand river south east,-21.77,71.19,78.47,100,44,17.38
graniceri,46.52,21.3,32.0,98,75,3.36
guerrero negro,27.97,-114.04,74.33,38,0,6.2
guilin,25.28,110.29,51.8,87,75,4.47
gurskoye,50.67,138.36,-0.01,62,36,4.63
hajdunanas,47.85,21.43,28.4,86,90,4.7
half moon bay,37.46,-122.43,57.36,38,1,11.41
hamada,34.9,132.08,44.99,100,92,19.51
hambantota,6.12,81.12,79.28,100,24,6.76
hami,42.84,93.51,33.92,74,0,2.28
hasaki,35.73,140.83,47.25,100,75,13.87
havoysund,71.0,24.66,22.06,73,75,12.75
hazorasp,41.32,61.08,50.0,76,0,4.7
hermanus,-34.42,19.24,52.19,95,0,3.29
hervey bay,-25.3,152.85,76.4,99,44,12.46
hilo,19.71,-155.08,65.61,88,90,9.17
hithadhoo,-0.6,73.08,84.05,100,48,11.34
hobart,-42.88,147.33,48.2,70,40,4.7
hofn,64.25,-15.21,41.0,80,20,4.7
hohhot,40.81,111.65,33.38,90,76,2.62
hovd,63.83,10.7,35.69,80,75,13.87
huescar,37.81,-2.54,40.49,96,80,11.45
humberto de campos,-2.6,-43.46,84.05,84,0,14.03
hunza,37.83,74.09,-8.38,58,0,2.62
igarka,67.47,86.57,29.78,91,88,26.66
ikon-khalk,44.32,41.92,46.25,86,32,3.96
illoqqortoormiut,78.84,-29.79,-30.25,40,0,20.85
ilulissat,69.22,-51.1,17.6,92,90,10.29
invercargill,-46.41,168.35,70.91,65,32,17.49
iqaluit,63.75,-68.52,12.2,72,75,20.8
ishigaki,24.34,124.16,72.98,100,76,12.24
itoman,26.12,127.67,69.75,83,75,9.17
izhma,65.01,53.91,1.79,68,64,2.51
jacareacanga,-6.22,-57.76,80.6,88,75,4.7
jamestown,-33.21,138.6,53.09,85,64,4.18
japura,-0.42,102.29,71.36,99,88,1.61
kaitangata,-46.28,169.85,64.43,83,80,11.34
kapaa,22.08,-159.32,72.57,78,90,18.34
karakendzha,39.45,72.58,10.88,69,0,3.96
karamay,45.03,85.02,35.09,97,76,4.29
karpathos,35.51,27.21,60.8,82,0,12.75
karwar,14.8,74.13,73.25,83,76,1.72
katangli,51.71,143.23,8.99,86,64,17.72
katsuura,33.93,134.5,48.2,100,75,21.92
kautokeino,69.01,23.04,12.59,80,68,3.74
kavaratti,10.57,72.64,83.96,100,48,6.76
kavieng,-2.57,150.8,81.98,100,12,13.69
kawalu,-7.38,108.21,60.11,90,0,2.17
kendal,-6.92,110.2,68.39,100,12,2.39
keti bandar,24.14,67.45,76.67,97,0,11.9
khani,41.96,42.96,60.8,63,75,17.22
khash,28.22,61.21,37.61,70,0,2.95
khatanga,71.98,102.47,-19.99,58,8,13.91
kholm,57.15,31.18,30.23,76,80,13.47
khor,47.88,134.96,3.5,65,12,4.63
kilmez,57.03,51.48,15.74,79,36,9.44
kimparana,12.83,-4.92,80.81,52,0,1.95
klaksvik,62.23,-6.59,41.0,80,88,6.93
kodiak,39.95,-94.76,48.2,72,90,13.87
komsomolskiy,67.55,63.78,-23.14,33,44,3.18
korla,41.61,87.43,25.37,71,56,0.94
kpandae,8.46,-0.01,86.3,55,20,9.44
krasnoselkup,64.28,84.64,30.95,92,88,18.28
kruisfontein,-34.0,24.73,62.09,96,0,7.43
kuloy,61.03,42.49,16.46,80,88,3.4
kumbo,6.21,10.69,64.25,93,56,2.28
kununurra,-15.77,128.74,78.8,94,12,4.52
kunyang,27.66,120.56,50.48,100,92,8.77
kurilsk,45.23,147.88,20.6,100,56,31.03
kyra,48.6,111.79,22.04,75,64,2.62
la ronge,55.1,-105.3,21.2,44,20,8.05
la seyne-sur-mer,43.1,5.88,49.95,53,0,10.29
labuhan,-2.54,115.51,69.65,99,12,1.72
labutta,15.27,91.65,80.45,100,0,12.24
lagoa,37.14,-8.45,59.0,82,20,12.75
laguna,27.52,-110.01,75.2,33,5,9.17
laizhou,37.18,119.93,36.53,85,64,17.27
lamar,38.09,-102.62,39.2,64,90,19.46
lavrentiya,65.58,-170.99,9.53,100,88,15.7
lebu,8.96,38.73,53.27,73,56,4.41
leh,34.16,77.58,-14.32,78,20,1.95
leland,41.61,-88.8,49.32,36,1,21.92
leningradskiy,69.38,178.42,-6.67,90,64,4.74
liberty,39.64,-84.93,60.8,26,1,17.22
likasi,-10.99,26.74,63.35,100,12,2.39
linjiang,41.81,126.91,8.18,69,0,4.41
lithakia,37.72,20.83,51.8,81,75,4.7
livingston,32.58,-88.19,78.8,69,75,9.17
lokosovo,61.13,74.84,9.62,75,44,19.28
lola,7.8,-8.53,76.49,77,20,4.63
lolua,-6.26,177.19,83.06,100,76,2.95
lompoc,34.64,-120.46,63.77,39,1,4.7
longyearbyen,78.22,15.63,-19.72,84,0,1.95
lorengau,-2.02,147.27,83.51,96,76,13.47
los llanos de aridane,28.66,-17.92,66.2,77,20,23.04
louisbourg,43.75,-59.01,32.66,100,24,25.55
luangwa,-15.62,30.4,78.56,62,0,5.41
luderitz,-26.65,15.16,60.8,87,0,11.41
lufilufi,-13.87,-171.6,82.4,74,20,5.41
luwuk,-0.95,122.79,75.41,100,20,2.73
lyubytino,58.81,33.39,29.96,93,92,12.8
mahdalynivka,48.92,34.92,15.8,78,0,11.18
mahebourg,-20.41,57.7,78.8,94,75,9.17
mahibadhoo,3.78,72.97,85.49,96,8,13.24
maldonado,-34.91,-54.96,69.8,52,20,17.22
mananara,-16.55,49.94,79.46,98,36,7.54
mangrol,25.33,76.51,77.66,38,76,7.43
maningrida,-12.05,134.23,77.57,94,44,5.64
manzhouli,49.6,117.43,15.11,71,48,4.18
mar del plata,-46.43,-67.52,49.13,61,0,17.05
marathon,48.72,-86.38,21.2,37,5,10.29
marawi,8.0,124.29,64.79,98,56,0.72
marsa matruh,31.35,27.25,59.0,87,0,5.82
masingbi,8.64,-11.47,76.94,80,8,4.85
matara,-13.74,-72.9,55.4,62,75,8.05
mataura,-46.19,168.86,70.91,65,32,17.49
mayumba,-3.44,10.65,80.9,98,24,4.07
mazatlan,23.22,-106.42,84.2,32,5,16.11
mechetinskaya,46.77,40.45,37.25,92,80,3.62
mehamn,71.03,27.85,24.8,73,75,12.75
mentok,-1.38,106.27,82.43,100,0,5.75
mercedes,-33.25,-58.03,72.35,56,0,5.75
mindelo,41.31,-8.72,49.17,66,20,14.99
minuri,16.54,121.86,70.55,93,32,3.18
moca,19.39,-70.53,85.71,46,40,3.36
monchegorsk,67.94,32.93,4.4,76,56,4.41
monrovia,6.33,-10.8,82.4,83,40,11.41
montepuez,-13.13,39.0,69.29,90,12,2.73
montevideo,44.94,-95.72,36.68,74,90,8.05
monzon,46.45,11.69,31.23,75,75,5.82
mount gambier,-37.83,140.78,57.5,64,68,5.53
mount isa,-20.73,139.49,69.8,73,0,2.24
mount pleasant,33.16,-94.97,71.6,33,1,16.11
mrirt,30.21,-4.65,58.13,22,0,2.95
muros,42.77,-9.06,41.0,86,75,13.87
muroto,33.37,134.14,54.08,100,92,15.14
muzhi,65.4,64.7,-13.51,61,64,3.62
myitkyina,25.38,97.4,56.69,88,0,2.39
mys shmidta,86.42,-176.76,-16.93,76,44,5.19
nabire,-3.36,135.5,67.13,84,8,2.51
nador,35.17,-2.93,58.95,72,20,5.82
nalut,31.86,10.98,57.77,32,36,6.2
namibe,-15.19,12.15,77.21,100,100,9.44
namwala,-15.75,26.45,69.92,75,8,9.66
nanortalik,60.14,-45.24,33.29,92,36,23.09
nara,34.68,135.8,48.2,100,90,25.28
narsaq,60.91,-46.05,50.0,31,75,33.33
negombo,7.21,79.83,78.8,78,20,5.82
nemuro,43.32,145.57,25.82,100,0,24.32
new norfolk,-42.78,147.06,48.2,70,40,4.7
nguiu,-7.91,129.1,84.32,100,20,4.07
nikolskoye,59.7,30.79,32.0,93,90,11.18
nishihara,35.74,139.53,50.02,100,90,5.82
nizhneyansk,85.45,137.83,-9.01,68,56,9.89
nome,30.04,-94.42,84.6,12,1,9.17
norfolk,36.85,-76.29,57.87,54,90,8.05
norman wells,65.28,-126.83,15.8,72,75,4.7
north bend,43.41,-124.22,51.94,76,1,3.36
nouadhibou,20.93,-17.03,68.0,68,0,19.46
noyabrsk,63.2,75.45,3.86,79,48,23.42
nyurba,63.29,118.35,3.23,74,32,2.84
oksfjord,70.24,22.35,18.93,85,40,1.12
olafsvik,61.31,-25.62,45.26,94,76,28.23
olden,61.84,6.81,33.8,91,75,6.93
ondorhaan,48.83,110.45,13.76,66,0,1.5
one hundred mile house,52.03,-120.14,39.2,69,75,2.24
oranjemund,-28.55,16.43,61.91,93,0,18.5
ostrovnoy,68.05,39.51,3.23,81,64,1.95
oum hadjer,13.3,19.7,71.9,31,0,4.97
pacific grove,36.62,-121.92,61.66,39,1,5.82
palabuhanratu,-18.13,100.14,80.18,100,20,15.48
palmer,-34.85,139.16,62.6,72,75,8.05
pangkalanbuun,-2.68,111.62,70.82,94,24,2.95
pangody,65.85,74.49,-6.22,85,36,21.18
panguna,-6.32,155.48,76.67,89,76,3.4
paraiba do sul,-22.16,-43.29,83.69,50,20,2.39
pasighat,28.06,95.33,53.36,70,0,2.62
pathein,16.78,94.73,74.15,92,0,8.43
payson,40.04,-111.73,41.25,55,40,8.05
pekin,40.57,-89.64,53.13,46,1,26.4
pemberton,-34.44,116.03,60.29,86,8,14.25
petropavlovsk-kamchatskiy,53.05,158.65,12.2,61,90,6.71
pevek,69.7,170.27,-14.77,89,44,7.54
pietarsaari,64.3,22.4,27.89,94,88,30.8
pisco,-13.71,-76.2,78.8,57,0,18.34
plettenberg bay,-34.05,23.37,64.34,100,36,3.51
plouzane,48.38,-4.62,34.84,100,90,14.99
pochutla,15.74,-96.47,80.6,74,75,16.11
pokhara,28.21,83.99,53.63,56,0,4.18
ponta do sol,-20.63,-46.0,80.63,65,0,1.05
pontes e lacerda,-15.23,-59.33,83.15,82,64,3.74
port alfred,-33.59,26.89,64.25,96,0,6.64
port blair,11.67,92.75,81.98,100,0,5.97
port elizabeth,39.31,-74.98,47.91,63,20,14.99
port hardy,50.7,-127.42,46.4,70,90,3.36
port hawkesbury,45.62,-61.36,24.8,58,1,8.05
port hedland,-20.31,118.58,82.4,58,0,2.24
port keats,-14.25,129.55,75.59,100,68,5.64
port lincoln,-34.72,135.86,62.36,100,92,13.02
port macquarie,-31.43,152.91,69.8,100,75,6.53
port moresby,-9.47,147.16,78.65,100,92,14.25
port-cartier,50.03,-66.88,33.8,43,90,14.99
port-de-paix,20.26,-72.69,77.66,100,0,7.76
portland,45.52,-122.67,45.07,93,90,4.7
porto novo,-23.68,-45.44,71.6,94,75,21.92
portpatrick,54.06,-4.94,37.4,64,20,11.41
poso,-1.4,120.75,76.4,100,32,2.06
poum,41.28,20.71,38.78,100,80,2.17
provideniya,64.42,-173.23,16.91,100,80,15.59
pudozh,61.81,36.54,12.95,70,68,3.18
puerto ayora,-0.74,-90.35,86.0,66,20,11.41
pumiao,22.75,108.49,60.8,82,75,4.47
pundaguitan,6.37,126.17,79.82,100,92,4.63
punta arenas,-53.16,-70.91,45.41,94,75,28.86
puqi,29.72,113.88,46.25,100,92,14.25
qaanaaq,77.48,-69.36,-15.85,91,0,9.22
qandala,11.47,49.87,62.36,99,0,2.84
qaqortoq,60.72,-46.03,50.0,31,75,33.33
qarqin,37.41,66.03,53.81,66,12,7.43
raniganj,23.61,87.12,62.81,58,0,2.73
raudeberg,61.99,5.14,34.36,80,20,16.11
remedios,22.5,-79.55,86.0,42,75,5.82
ribeira grande,38.52,-28.7,63.89,95,36,13.58
rikitea,-23.12,-134.97,80.09,100,48,15.48
rio grande,-32.03,-52.1,77.0,44,0,13.87
roald,62.58,6.12,35.42,86,75,6.93
robertsport,6.75,-11.37,79.01,100,80,5.53
roebourne,-20.77,117.15,79.28,31,0,9.33
roma,41.89,12.48,47.28,87,20,3.36
rudnya,50.8,44.56,11.6,82,64,5.41
rumuruti,0.26,36.54,56.87,98,92,3.06
saint george,39.45,22.34,53.6,87,40,3.36
saint-joseph,43.56,6.97,49.39,70,0,4.7
saint-philippe,45.36,-73.48,21.63,48,1,16.11
sakaiminato,35.55,133.23,44.6,81,90,24.16
saldanha,41.42,-6.55,37.25,69,0,12.91
saleaula,-10.37,-171.34,81.98,100,76,10.0
samusu,-9.08,-162.5,80.81,100,56,11.34
san cayetano,5.33,-74.03,59.66,87,88,1.5
san ignacio,-36.8,-72.03,73.4,35,0,10.29
san patricio,-26.98,-56.83,74.78,69,36,6.42
san quintin,17.54,120.52,73.4,88,20,2.24
santa maria,-29.69,-53.81,78.8,41,0,5.82
santiago del estero,-27.8,-64.26,79.28,34,0,5.97
sao filipe,14.9,-24.5,72.08,90,0,18.72
sao joao da barra,-21.64,-41.05,87.8,58,20,11.41
sao miguel do oeste,-26.88,-53.43,80.36,76,0,8.77
sar-e pul,36.22,65.93,39.95,97,48,2.17
saskylakh,71.97,114.09,-21.97,64,0,4.97
saveh,35.02,50.36,41.93,84,0,2.17
sayat,38.78,63.88,51.8,66,0,2.24
scottsbluff,41.87,-103.67,39.2,64,90,18.34
seddon,-41.67,174.07,62.9,90,0,6.98
sehithwa,-20.47,22.7,70.82,76,20,5.19
seminole,32.72,-102.64,61.56,20,1,9.17
semirom,31.41,51.57,24.65,71,36,1.95
senno,57.76,27.95,35.6,59,88,11.18
sentyabrskiy,44.43,153.26,32.48,100,36,43.44
sept-iles,50.2,-66.38,33.8,43,90,14.99
severo-kurilsk,50.68,156.12,28.16,100,64,18.05
severobaykalsk,55.65,109.32,-0.91,60,0,1.83
shelburne,44.08,-80.2,30.9,36,1,6.93
shimoda,34.7,138.93,53.9,100,92,24.99
sitka,37.17,-99.65,44.45,85,92,21.52
skoghall,59.32,13.47,33.8,47,0,6.93
slave lake,55.28,-114.77,33.8,64,1,5.82
sliven,42.68,26.32,38.15,96,92,7.65
sola,62.78,29.36,15.8,92,0,2.95
sorvag,63.67,-9.29,43.28,97,68,18.84
souillac,45.6,-0.6,38.41,86,90,8.05
soyo,-6.13,12.37,78.38,91,0,3.96
springdale,36.19,-94.13,54.19,71,0,21.92
srednekolymsk,67.46,153.71,-16.39,73,44,2.95
sri aman,1.24,111.46,75.2,94,75,1.95
sterling,39.0,-77.4,55.96,28,1,8.05
suntar,62.16,117.65,9.53,83,64,2.73
svetlyy,50.91,62.39,5.48,66,44,7.65
swan river,52.11,-101.27,21.05,93,88,3.18
tabuk,17.41,121.44,63.53,97,48,1.16
tacna,-18.01,-70.25,76.86,61,40,11.41
tagusao,9.19,117.81,76.4,98,0,1.39
taitung,22.76,121.15,66.5,100,0,8.32
takhtamygda,54.1,123.57,2.69,64,12,2.62
talawdi,10.2,30.92,70.82,31,0,4.29
talaya,55.79,84.89,27.53,100,56,24.2
talnakh,69.49,88.39,26.81,89,80,23.31
tanout,14.97,8.88,74.15,17,12,6.53
taolanaro,-58.15,53.91,37.43,94,92,32.03
taoudenni,22.68,-3.98,65.6,26,8,3.96
tasiilaq,65.61,-37.64,35.6,96,88,14.99
tat,18.97,94.33,70.91,89,8,1.39
te anau,-45.41,167.72,59.48,94,64,12.8
terrace,54.52,-128.61,39.2,80,90,12.75
thompson,55.74,-97.86,15.8,23,75,4.7
tidore,-0.21,127.38,81.26,100,56,10.78
tiksi,71.64,128.87,-39.34,0,0,2.84
tilichiki,60.47,166.1,-1.9,70,8,2.73
tocopilla,-22.09,-70.2,69.56,76,8,6.98
toliary,-24.07,42.06,81.17,100,32,16.49
tomatlan,19.93,-105.25,88.55,44,0,4.18
torbay,47.66,-52.73,28.4,74,90,32.21
toungoo,19.09,96.79,61.73,82,0,1.83
touros,-5.2,-35.46,82.79,77,92,12.01
tromso,69.65,18.96,24.8,79,40,6.93
tsihombe,-44.11,44.01,50.75,92,48,26.89
tuatapere,-46.13,167.69,64.43,90,92,12.12
tuktoyaktuk,69.44,-133.03,-6.54,76,75,12.75
tumannyy,67.4,36.9,2.24,76,12,2.39
tura,25.52,90.21,59.75,80,0,1.95
ugoofaaru,5.67,73.0,83.96,99,0,12.57
ulaanbaatar,47.92,106.92,28.4,79,0,3.29
upernavik,72.79,-56.15,-0.46,100,12,12.01
urdzhar,46.69,81.35,34.37,86,92,4.41
ushuaia,-54.81,-68.31,42.39,69,75,34.45
uspenka,48.39,39.16,19.79,92,80,6.76
ust-kan,50.93,84.77,30.23,82,76,5.53
vaini,15.34,74.49,70.37,81,32,1.16
vaitape,-16.52,-151.75,82.61,98,64,21.07
vaitupu,-11.04,-178.72,82.61,100,0,1.16
vardo,39.62,-77.74,58.12,26,1,5.82
vermilion,53.35,-110.85,24.8,85,90,5.82
vestmanna,62.16,-7.17,41.0,80,88,6.93
vestmannaeyjar,63.44,-20.27,41.93,86,88,12.01
victoria,5.28,115.24,79.57,94,75,8.99
vicuna,-30.11,-70.71,66.2,68,0,12.75
vila franca do campo,37.72,-25.43,62.6,100,75,10.29
vila velha,-3.71,-38.6,86.0,70,40,11.41
viligili,-0.34,78.52,83.69,100,36,6.53
villa bruzual,9.33,-69.12,94.49,32,12,4.29
vinderup,56.48,8.79,41.0,86,56,16.11
voi,-3.4,38.57,65.69,98,64,2.17
vostok,46.45,135.83,3.95,69,12,3.18
vuktyl,63.86,57.31,17.36,85,80,7.76
waingapu,-9.65,120.26,72.89,98,12,5.86
waitara,-39.0,174.24,66.95,94,8,8.1
walvis bay,-22.95,14.51,64.4,72,0,5.82
warqla,29.24,3.54,57.23,43,0,5.53
watertown,44.9,-97.12,36.43,74,90,6.93
west plains,36.73,-91.85,60.22,81,90,3.29
westport,53.8,-9.52,37.4,51,0,8.05
whitehorse,60.72,-135.06,32.0,77,75,11.41
wladyslawowo,54.79,18.4,26.6,79,0,2.24
wooster,40.8,-81.94,45.36,45,1,9.17
yakovlevka,44.43,133.47,7.19,54,0,4.74
yanchukan,55.52,112.78,-4.69,57,0,2.06
yatsuo,36.58,137.14,44.6,87,90,20.8
yellowknife,62.45,-114.38,23.0,62,75,6.93
yermakovskoye,53.28,92.4,14.57,64,20,2.62
yima,34.75,111.87,36.98,87,92,5.41
yinchuan,38.48,106.21,39.95,96,92,5.75
yueyang,29.36,113.12,44.72,100,92,10.45
yulara,-25.24,130.99,71.6,33,36,10.29
zakamensk,50.38,103.29,11.15,61,0,3.29
zaysan,47.47,84.87,27.53,80,56,3.18
zhanaozen,43.35,52.85,53.72,72,0,14.7
zhigansk,66.77,123.37,-12.79,61,24,5.08
zhoucheng,31.35,119.33,42.65,100,92,7.43
zunheboto,26.02,94.53,45.44,87,0,1.05
